House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Scott Dale,Maureen,Cox,50,Head,Single,Female,"Engineer, building services",None,Catholic
1,Scott Dale,Rhys,Brown,52,Partner,Single,Male,"Engineer, mining",None,Catholic
2,Scott Dale,Lorraine,Allen,69,Head,Married,Female,Unemployed,None,Methodist
2,Scott Dale,Lewis,Allen,72,Husband,Married,Male,Retired Associate Professor,None,Methodist
3,Scott Dale,Molly,Patel,36,Head,Married,Female,"Engineer, land",None,None
3,Scott Dale,Norman,Patel,42,Husband,Married,Male,Higher education lecturer,None,None
4,Scott Dale,Sophie,Akhtar,38,Head,Divorced,Female,Hydrographic surveyor,Physical Disability,None
4,Scott Dale,Jamie,Akhtar,7,Son,NA,Male,Student,None,NA
5,Scott Dale,Duncan,Law,29,Head,Single,Male,Trading standards officer,None,None
5,Scott Dale,Natasha,Walker,32,None,Single,Female,"Surveyor, minerals",None,Catholic
5,Scott Dale,Mohamed,Slater,62,None,Single,Male,Clinical psychologist,None,Christian
6,Scott Dale,Debra,Patel,80,Head,Widowed,Female,Retired Chief Executive Officer,None,None
7,Scott Dale,Annette,Iqbal,56,Head,Single,Female,Commercial horticulturist,None,None
7,Scott Dale,Gareth,Hodgson,55,Partner,Single,Male,Fast food restaurant manager,None,None
7,Scott Dale,Kyle,Walker-Iqbal,25,Son,Single,Male,Fast food restaurant manager,None,None
7,Scott Dale,Alex,O'Neill-Walker-Iqbal,17,Son,NA,Male,Student,None,NA
8,Scott Dale,Denise,Ball,62,Head,Married,Female,Art gallery manager,None,Christian
8,Scott Dale,Brian,Ball,63,Husband,Married,Male,Quantity surveyor,None,None
8,Scott Dale,Tony,Ball,23,Son,Single,Male,Manufacturing systems engineer,None,Christian
8,Scott Dale,Teresa,Ball,22,Daughter,Single,Female,University Student,None,Christian
9,Scott Dale,Pauline,Smith,39,Head,Married,Female,Electrical engineer,None,None
9,Scott Dale,Elliott,Smith,41,Husband,Married,Male,Equities trader,None,None
9,Scott Dale,Rhys,Smith,7,Son,NA,Male,Student,None,NA
9,Scott Dale,Max,Smith,2,Son,NA,Male,Child,None,NA
9,Scott Dale,Stacey,Smith,1,Daughter,NA,Female,Child,None,NA
10,Scott Dale,Gordon,Hammond,67,Head,Married,Male,Animal technologist,None,Christian
10,Scott Dale,Kirsty,Hammond,65,Wife,Married,Female,"Secretary, company",None,Christian
11,Scott Dale,Adrian,Ingram,28,Head,Divorced,Male,"Psychologist, clinical",None,Sikh
12,Scott Dale,Josh,Taylor,29,Head,Married,Male,Psychiatrist,None,Catholic
12,Scott Dale,Helen,Taylor,27,Wife,Married,Female,"Nurse, children's",None,Catholic
12,Scott Dale,Joe,Taylor,5,Son,NA,Male,Student,None,NA
12,Scott Dale,Debra,Taylor,4,Daughter,NA,Female,Child,None,NA
12,Scott Dale,Adrian,Taylor,3,Son,NA,Male,Child,None,NA
13,Scott Dale,John,Sharp,20,Head,Married,Male,Educational psychologist,None,Catholic
13,Scott Dale,Amy,Dennis,19,Wife,Married,Female,University Student,None,None
14,Scott Dale,Eleanor,Robinson,49,Head,Divorced,Female,Chartered certified accountant,None,Christian
15,Scott Dale,Joseph,Moore,83.71794888354226,Head,Widowed,Male,Retired Industrial buyer,None,None
15,Scott Dale,Samuel,Moore,14.0,Grandson,NA,Male,Student,None,NA
16,Scott Dale,Stephanie,Bell,69,Head,Married,Female,Retired Translator,None,Christian
16,Scott Dale,Carl,Bell,66,Husband,Married,Male,Purchasing manager,None,None
17,Scott Dale,Paige,Stevens,82,Head,Married,Female,"Retired Designer, exhibition/display",None,None
17,Scott Dale,Owen,Stevens,83,Husband,Married,Male,Retired IT sales professional,None,None
18,Scott Dale,Elizabeth,Hall,44,Head,Married,Female,"Conservator, furniture",None,None
18,Scott Dale,Robert,Hall,44,Husband,Married,Male,Aeronautical engineer,None,None
18,Scott Dale,Alice,Hall,15,Daughter,NA,Female,Student,None,NA
19,Scott Dale,Derek,Todd,21,Head,Married,Male,University Student,None,Christian
19,Scott Dale,Maureen,Todd,19,Wife,Married,Female,University Student,None,Christian
20,Scott Dale,Frances,Webb,80,Head,Single,Female,Unemployed,None,Christian
20,Scott Dale,Amy,Webb,46,Daughter,Single,Female,"Producer, radio",None,Christian
20,Scott Dale,Terence,Webb,45,Son,Single,Male,Herbalist,None,Christian
20,Scott Dale,Laura,Webb,43,Daughter,Divorced,Female,"Teacher, English as a foreign language",None,Christian
21,Scott Dale,Ashley,Bradley,64,Head,Married,Male,"Administrator, arts",None,None
21,Scott Dale,Abigail,Bradley,59,Wife,Married,Female,Town planner,None,None
22,Scott Dale,Norman,Nicholls,23,Head,Single,Male,Unemployed,None,Catholic
22,Scott Dale,Ronald,Ingram,34,Lodger,Single,Male,Broadcast engineer,None,None
22,Scott Dale,Diana,Gill,20,Lodger,Divorced,Female,University Student,None,None
22,Scott Dale,Ronald,Johnson,46,Visitor,Single,Male,"Programmer, systems",None,Christian
22,Scott Dale,Sean,Wilkinson,55,Cousin,Single,Male,Chartered legal executive (England and Wales),None,Methodist
23,Scott Dale,Josephine,Parkin,29,Head,Single,Female,Speech and language therapist,None,None
23,Scott Dale,Diane,Parkin,10,Daughter,NA,Female,Student,None,NA
23,Scott Dale,Philip,Parkin,9,Son,NA,Male,Student,None,NA
24,Scott Dale,Debra,Barker,36,Head,Divorced,Female,"Scientist, research (medical)",None,Catholic
24,Scott Dale,Caroline,Barker,7,Daughter,NA,Female,Student,None,NA
25,Scott Dale,Sharon,Murphy,35,Head,Widowed,Female,"Engineer, broadcasting (operations)",None,Christian
25,Scott Dale,Leon,Murphy,7,Son,NA,Male,Student,None,NA
25,Scott Dale,Kayleigh,Murphy,5,Daughter,NA,Female,Student,None,NA
25,Scott Dale,Francis,Murphy,2,Son,NA,Male,Child,None,NA
25,Scott Dale,Janice,Murphy,0,Daughter,NA,Female,Child,None,NA
26,Scott Dale,Jill,Howells,82,Head,Widowed,Female,"Retired Surveyor, minerals",None,Christian
1,Lee Shoal,Jill,Johnson,68,Head,Married,Female,"Retired Surveyor, commercial/residential",None,Christian
1,Lee Shoal,Adam,Payne,68,Husband,Married,Male,"Retired Administrator, arts",None,Christian
1,Lee Shoal,Jake,Johnson,35,Son,Single,Male,Advice worker,None,None
1,Lee Shoal,Liam,Johnson,34,Son,Single,Male,Mudlogger,None,None
1,Lee Shoal,Michelle,Johnson,32,Daughter,Single,Female,Pensions consultant,None,None
2,Lee Shoal,Melissa,Porter,48,Head,Married,Female,Architect,None,Christian
2,Lee Shoal,Clifford,Porter,49,Husband,Married,Male,Unemployed,None,Christian
2,Lee Shoal,Bryan,Porter,17,Son,NA,Male,Student,None,NA
2,Lee Shoal,Benjamin,Jackson-Porter,16,Son,NA,Male,Student,None,NA
3,Lee Shoal,Mitchell,Weston,81,Head,Married,Male,Retired Air cabin crew,None,None
3,Lee Shoal,Cheryl,Weston,81,Wife,Married,Female,Retired Trade mark attorney,None,None
4,Lee Shoal,Bernard,West,23,Head,Divorced,Male,Hotel manager,None,Muslim
5,Lee Shoal,Katy,Burrows,82,Head,Widowed,Female,Unemployed,None,None
5,Lee Shoal,Christine,Burrows,41,Daughter,Single,Female,Marketing executive,None,None
6,Lee Shoal,Julian,Byrne,53,Head,Single,Male,Speech and language therapist,None,Christian
6,Lee Shoal,Leonard,Byrne,62,Cousin,Divorced,Male,Risk analyst,None,Christian
7,Lee Shoal,Malcolm,Davies,41,Head,Married,Male,"Conservator, museum/gallery",None,None
7,Lee Shoal,Jacqueline,Davies,39,Wife,Married,Female,"Therapist, drama",None,None
8,Lee Shoal,Carol,Clarke,29,Head,Divorced,Female,Retail manager,None,None
